Model,MAE,RMSE,MAPE,Accuracy
Random Forest,69.70246478873241,92.95473909609201,3.2205774455786376,96.77942255442136
Gradient Boosting,71.72319279359422,92.17654649033835,3.31259320763111,96.68740679236889
ARIMA,272.54803332400786,323.0518340776435,12.808135421462497,87.1918645785375
