Model,MAE,RMSE,MAPE,Accuracy (%)
Naive Forecast,10.422535211267606,14.207714627257175,0.46073663869353787,99.53926336130647
Moving Average,183.83199195171025,221.09111983762455,8.62078815392474,91.37921184607526
ARIMA,272.54803332400786,323.0518340776435,12.808135421462497,87.1918645785375
